"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"msedge","1","220","2255242690560","17965056","6660096","13520","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","0,046875","92.0.902.67","92.0.902.67","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"3192","Microsoft.Win32.SafeHandles.SafeProcessHandle","220","972",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13520","13520","6660096","6660096","545248","545248","6774784","6774784","18030592","18030592","401637376","2255259467776","True","Normal","6660096","6660096","00:00:00.0468750","msedge","1","True","1","System.Diagnostics.ProcessStartInfo","28/02/2023 20:30:06",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0468750","00:00:00","384860160","2255242690560","False",,,,"17965056","17965056",,
"msedge","1","222","2259553402880","27901952","12836864","13656","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","0,125","92.0.902.67","92.0.902.67","Microsoft Edge","Microsoft Edge","Process","4",,"False",,"3188","Microsoft.Win32.SafeHandles.SafeProcessHandle","222","1104",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13656","13656","12836864","12836864","525168","525168","13000704","13000704","28217344","28217344","370593792","2263818358784","True","Idle","12836864","12836864","00:00:00.0781250","msedge","1","True","1","System.Diagnostics.ProcessStartInfo","28/02/2023 20:30:52",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1250000","00:00:00.0468750","400605184","2259553402880","False",,,,"27901952","27901952",,
"msedge","1","486","2259713048576","272613376","167784448","30656","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","23,0625","92.0.902.67","92.0.902.67","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"3340","Microsoft.Win32.SafeHandles.SafeProcessHandle","486","3292",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","30656","30656","167784448","167784448","652400","652400","301297664","301297664","429686784","429686784","370593792","2263818358784","True","Normal","167784448","167784448","00:00:04.5000000","msedge","1","True","1","System.Diagnostics.ProcessStartInfo","28/02/2023 20:30:06",,"System.Diagnostics.ProcessThreadCollection","00:00:23.0625000","00:00:18.5625000","560250880","2259713048576","False",,,,"272613376","272613376",,
"msedge","1","151","2237830156288","7401472","2002944","9240","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","0,03125","92.0.902.67","92.0.902.67","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"2764","Microsoft.Win32.SafeHandles.SafeProcessHandle","151","3784",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","9240","9240","2002944","2002944","112032","112032","2060288","2060288","7446528","7446528","168972288","2237846933504","True","Normal","2002944","2002944","00:00:00.0312500","msedge","1","True","1","System.Diagnostics.ProcessStartInfo","28/02/2023 20:30:03",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","00:00:00","152195072","2237830156288","False",,,,"7401472","7401472",,
"msedge","1","407","2255304744960","46108672","15261696","27280","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","1,375","92.0.902.67","92.0.902.67","Microsoft Edge","Microsoft Edge","Process","10",,"False",,"3324","Microsoft.Win32.SafeHandles.SafeProcessHandle","407","5728",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","27280","27280","15261696","15261696","636416","636416","29310976","29310976","83238912","83238912","527876096","2255385706496","True","AboveNormal","15261696","15261696","00:00:00.5156250","msedge","1","True","1","System.Diagnostics.ProcessStartInfo","28/02/2023 20:30:05",,"System.Diagnostics.ProcessThreadCollection","00:00:01.3750000","00:00:00.8593750","446914560","2255304744960","False",,,,"46108672","46108672",,
"msedge","1","329","2255272374272","33767424","11526144","25000","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","3,078125","92.0.902.67","92.0.902.67","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"2620","Microsoft.Win32.SafeHandles.SafeProcessHandle","329","5748",".","0","","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","25000","25000","11526144","11526144","596152","596152","15159296","15159296","36188160","36188160","511840256","2255369670656","True","Normal","11526144","11526144","00:00:01.1562500","msedge","1","True","1","System.Diagnostics.ProcessStartInfo","28/02/2023 20:30:05",,"System.Diagnostics.ProcessThreadCollection","00:00:03.0781250","00:00:01.9218750","414543872","2255272374272","False",,,,"33767424","33767424",,
"msedge","1","1329","2272954617856","123506688","38797312","57944","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Microsoft Corporation","9,546875","92.0.902.67","92.0.902.67","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"3424","Microsoft.Win32.SafeHandles.SafeProcessHandle","1329","7152",".","131792","Nueva pesta?a - Perfil 1: Microsoft? Edge","System.Diagnostics.ProcessModule (msedge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","57944","57944","38797312","38797312","1051448","1051448","47230976","47230976","136429568","136429568","1175691264","2273213390848","True","Normal","38797312","38797312","00:00:04.6406250","msedge","1","True","1","System.Diagnostics.ProcessStartInfo","28/02/2023 20:30:03",,"System.Diagnostics.ProcessThreadCollection","00:00:09.5468750","00:00:04.9062500","916918272","2272954617856","False",,,,"123506688","123506688",,
